t,stroke_id,action_type,x_des,y_des,z_des,x_act,y_act,z_act,x_cmd,y_cmd,z_cmd,error_x,error_y,error_z,error_norm,q1,q2,q3,q4,q5,q6,q7,qdot1,qdot2,qdot3,qdot4,qdot5,qdot6,qdot7,sigma_min,condition_number,manipulability,lambda_dls,speed_scale,joint_limit_margin,tip_orientation_error_deg,desired_normal_force_n,measured_normal_force_n,filtered_normal_force_n,normal_force_error_n,normal_force_offset_m,force_control_active,contact_active,status,policy_reason
0.0,stroke_001,move_to_start,0.54,0.0,0.222,0.5474122629571084,5.2403152469645244e-08,0.21961777112280198,0.5434,0.0,0.222,-0.007412262957108395,-5.2403152469645244e-08,0.0023822288771980227,0.007785669950070034,3.385370206387961e-08,0.14214085042476654,-6.78790641472915e-08,-2.196068525314331,-4.4431490664464945e-07,2.334988594055176,0.75,-1.4957233815948712e-06,-0.09374719113111496,-4.961103741152328e-07,-0.47543153166770935,1.710961078060791e-05,0.06080363318324089,-3.4795979786395037e-07,0.2665572003797891,3.008301876015182,0.16884055787018598,0.02,1.0,0.8831720417022706,0.18453459699838642,0.0,0.0,0.0,0.0,0.0,False,False,OK,metrics within configured thresholds
0.02,stroke_001,move_to_start,0.54,0.0,0.222,0.5436693738114451,7.13594834973929e-08,0.2159397744291969,0.5434,0.0,0.222,-0.0036693738114450536,-7.13594834973929e-08,0.006060225570803102,0.007084535139458817,3.1657374499616253e-09,0.14166876673698425,-9.058853578380877e-08,-2.2056469917297363,-9.323768068725258e-08,2.3359079360961914,0.75,-3.7191921364865266e-06,-0.021266242489218712,1.1399371260267799e-06,-0.44791650772094727,3.681167072500102e-05,0.039929091930389404,-9.297934411733877e-06,0.26622001047436494,3.0073833474489984,0.16762145140707932,0.02,1.0,0.875731474685669,0.6536085521076235,0.0,0.0,0.0,0.0,0.0,False,False,OK,metrics within configured thresholds
0.04,stroke_001,move_to_start,0.54,0.0,0.222,0.540550344596492,3.452601034724032e-08,0.2123473810221488,0.5434,0.0,0.222,-0.0005503445964919473,-3.452601034724032e-08,0.00965261897785119,0.009668295212065718,-1.5571428590988035e-08,0.1427258849143982,-1.3280684640903928e-07,-2.2130062580108643,3.15750099844081e-07,2.3363749980926514,0.75,-2.723465740928077e-06,0.03845255821943283,1.7388742890034337e-08,-0.3044498562812805,3.313412526040338e-05,0.021063797175884247,-2.1986124920658767e-06,0.2658174864402098,3.0050521625756557,0.16594539911825928,0.02,1.0,0.8661530082702638,1.1090694129367515,0.0,0.0,0.0,0.0,0.0,False,False,OK,metrics within configured thresholds
0.06,stroke_001,move_to_start,0.54,0.0,0.222,0.5383470745722503,-1.563967679985586e-08,0.2095221240582361,0.5434,0.0,0.222,0.0016529254277497518,1.563967679985586e-08,0.012477875941763916,0.01258688009349406,-5.986958928616559e-09,0.14426161348819733,-1.9099566372915433e-07,-2.2178966999053955,6.14715702340618e-07,2.3366289138793945,0.75,-1.040563574861153e-06,0.040789924561977386,-5.917991074966267e-07,-0.18649804592132568,2.7366128051653504e-05,0.011065672151744366,5.969685389572987e-06,0.265503481085409,3.003149317149587,0.16460625912429097,0.02,1.0,0.8587937419891358,1.4627242252287949,0.0,0.0,0.0,0.0,0.0,False,False,OK,metrics within configured thresholds
0.08,stroke_001,move_to_start,0.54,0.0,0.222,0.5369491329308388,2.0951609910228804e-08,0.2076676145887749,0.5434,0.0,0.222,0.003050867069161245,-2.0951609910228804e-08,0.014332385411225113,0.01465349997270379,2.3675644555964936e-08,0.14542953670024872,-2.4245696295110974e-07,-2.220914602279663,8.76547801453853e-07,2.3367745876312256,0.75,1.396113873397553e-07,0.012709534727036953,-3.409972180179466e-07,-0.10206770896911621,2.5605269911466166e-05,0.0055327825248241425,9.433371815248393e-06,0.265289466693035,3.001912086793029,0.1636920146421476,0.02,1.0,0.8539033000946046,1.6942066372882303,0.0,0.0,0.0,0.0,0.0,False,False,OK,metrics within configured thresholds
0.1,stroke_001,move_to_start,0.54,0.0,0.222,0.5361858903889337,-3.900395613494058e-09,0.2067165333002244,0.5434,0.0,0.222,0.0038141096110663186,3.900395613494058e-09,0.015283466699775594,0.01575219941749066,8.470946966099291e-08,0.14593049883842468,-3.080885733197647e-07,-2.2226004600524902,9.74715362644929e-07,2.3368637561798096,0.75,1.2711499266515602e-06,-0.02082301862537861,-8.111570650726208e-07,-0.04388635978102684,1.9366068954695947e-05,0.0025759516283869743,1.3718071386392694e-05,0.26515463894249464,3.0011756497002544,0.163120653888745,0.02,1.0,0.850885397720337,1.8143866293542563,0.0,0.0,0.0,0.0,0.0,False,False,OK,metrics within configured thresholds
0.12,stroke_001,move_to_start,0.54,0.0,0.222,0.5358810595720582,5.293051094982562e-09,0.2064603499315687,0.5434,0.0,0.222,0.0041189404279418085,-5.293051094982562e-09,0.015539650068431304,0.016076268052575463,1.544072318893086e-07,0.14582675695419312,-3.686111540446291e-07,-2.223376750946045,1.032938257594651e-06,2.336928606033325,0.75,1.6087135463749291e-06,-0.046372540295124054,-5.830124223393796e-07,-0.005773498211055994,1.819722274376545e-05,0.0010944110108539462,1.422795048711123e-05,0.2650779265346844,3.0007885931741645,0.16280409728319473,0.02,1.0,0.8491995399475099,1.8492022959871863,0.0,0.0,0.0,0.0,0.0,False,False,OK,metrics within configured thresholds
0.14,stroke_001,move_to_start,0.54,0.0,0.222,0.5358683195560604,-1.557940927096617e-08,0.20664558208996467,0.5434,0.0,0.222,0.004131680443939634,1.557940927096617e-08,0.015354417910035334,0.015900595355114528,2.3252995617895067e-07,0.14533521234989166,-4.2861296378760017e-07,-2.223578929901123,1.0349085641792044e-06,2.3369832038879395,0.75,1.900438405755267e-06,-0.05978165194392204,-6.163435841699538e-07,0.016841717064380646,1.6170451999641955e-05,0.0003065702330786735,1.428434370609466e-05,0.26504121525978924,3.000644593662247,0.16266588296364048,0.02,1.0,0.8484232490539552,1.8295057273058726,0.0,0.0,0.0,0.0,0.0,False,False,OK,metrics within configured thresholds
0.16,stroke_001,move_to_start,0.54,0.0,0.222,0.5360073246413648,1.1772610281488546e-07,0.20704080757014653,0.5434,0.0,0.222,0.003992675358635234,-1.1772610281488546e-07,0.014959192429853468,0.015482858091666983,3.120497922282084e-07,0.1446896493434906,-4.832867830373289e-07,-2.223468542098999,1.022810465656221e-06,2.3370330333709717,0.75,2.0155523543508025e-06,-0.062323715537786484,-3.527475769260491e-07,0.027921084314584732,1.6002515621948987e-05,-0.0002278044994454831,1.4040505448065232e-05,0.26502983476921615,3.0006574595005007,0.1626410788834917,0.02,1.0,0.848221070098877,1.7833358072619487,0.0,0.0,0.0,0.0,0.0,False,False,OK,metrics within configured thresholds
0.18,stroke_001,move_to_start,0.54,0.0,0.222,0.5361945704068419,1.3468879981315937e-07,0.20747254599538448,0.5434,0.0,0.222,0.003805429593158105,-1.3468879981315937e-07,0.014527454004615525,0.01501759682049176,3.988091918927239e-07,0.14407026767730713,-5.608651463262504e-07,-2.223233699798584,8.919212746150151e-07,2.337076425552368,0.75,1.8839913309420808e-06,-0.057547468692064285,-1.761025600899302e-06,0.03116738423705101,1.0720330465119332e-05,-0.0007406572112813592,1.3314362149685621e-05,0.2650323182692723,3.0007551617133053,0.1626770111067989,0.02,1.0,0.8483314579010011,1.7318960745592533,0.0,0.0,0.0,0.0,0.0,False,False,OK,metrics within configured thresholds
