t,stroke_id,action_type,x_des,y_des,z_des,x_act,y_act,z_act,x_cmd,y_cmd,z_cmd,error_x,error_y,error_z,error_norm,q1,q2,q3,q4,q5,q6,q7,qdot1,qdot2,qdot3,qdot4,qdot5,qdot6,qdot7,sigma_min,condition_number,manipulability,lambda_dls,speed_scale,joint_limit_margin,tip_orientation_error_deg,desired_normal_force_n,measured_normal_force_n,filtered_normal_force_n,normal_force_error_n,normal_force_offset_m,force_control_active,contact_active,status,policy_reason
0.0,unknown,move_to_start,0.46,-0.04,0.222,0.5475704042398121,-0.00021410151275105382,0.21963680433444663,0.46340000000000003,-0.04,0.222,-0.08757040423981205,-0.03978589848724895,0.002363195665553375,0.09621371061816222,-0.0002226858341600746,0.14232343435287476,-0.00018685391114559025,-2.1958913803100586,0.0001362787588732317,2.335496664047241,0.7481957674026489,-0.021123457700014114,-0.08088323473930359,-0.015940576791763306,-0.46397900581359863,0.006512148305773735,0.08547012507915497,-0.08596530556678772,0.2665572003797891,3.008301876015182,0.16884055787018598,0.02,1.0,0.8831720417022706,0.15578241207065469,0.0,0.0,0.0,0.0,0.0,False,False,OK,metrics within configured thresholds
0.02,unknown,move_to_start,0.46,-0.04,0.222,0.5436879471903623,-0.0007424544313874436,0.21568341592181145,0.46340000000000003,-0.04,0.222,-0.08368794719036227,-0.03925754556861256,0.006316584078188553,0.0926537998326317,-0.0007873913273215294,0.14191016554832458,-0.000608792994171381,-2.2062370777130127,0.0002637473226059228,2.337322235107422,0.7463654279708862,-0.034078557044267654,-0.014880923554301262,-0.024890178814530373,-0.504891037940979,0.006155276205390692,0.08173664659261703,-0.08706222474575043,0.26620097684367955,3.0081404885833547,0.16768485084475634,0.02,1.0,0.8759086196899415,0.6202419919920938,0.0,0.0,0.0,0.0,0.0,False,False,OK,metrics within configured thresholds
0.04,unknown,move_to_start,0.46,-0.04,0.222,0.5394239847633238,-0.001453197221358538,0.21104290874585835,0.46340000000000003,-0.04,0.222,-0.07942398476332374,-0.03854680277864146,0.010957091254141654,0.08896113313628458,-0.0015552171971648932,0.14242735505104065,-0.0011736811138689518,-2.217106580734253,0.0003725966962520033,2.339111566543579,0.7445161938667297,-0.041845377534627914,0.014553696848452091,-0.030419399961829185,-0.5207219123840332,0.005244441796094179,0.08063267171382904,-0.08796244114637375,0.26572532568803814,3.00674071878207,0.16592910792575827,0.02,1.0,0.8655629222869874,1.1701122856263797,0.0,0.0,0.0,0.0,0.0,False,False,OK,metrics within configured thresholds
0.06,unknown,move_to_start,0.46,-0.04,0.222,0.5349811595124746,-0.0022688575948627315,0.206171566768554,0.46340000000000003,-0.04,0.222,-0.07498115951247458,-0.037731142405137266,0.015828433231446004,0.08541869050503086,-0.002445806981995702,0.14332737028598785,-0.0018269813153892756,-2.228151798248291,0.00045772542944177985,2.3408851623535156,0.742657482624054,-0.04655703157186508,0.024646565318107605,-0.03387632966041565,-0.5248987674713135,0.004102629143744707,0.08042651414871216,-0.08841170370578766,0.2652030951504337,3.00546467087133,0.16404071285023103,0.02,1.0,0.8546934192657472,1.7528893527224745,0.0,0.0,0.0,0.0,0.0,False,False,OK,metrics within configured thresholds
0.08,unknown,move_to_start,0.46,-0.04,0.222,0.5312703260332473,-0.0031038604516830082,0.20200202624653352,0.46340000000000003,-0.04,0.222,-0.07127032603324729,-0.03689613954831699,0.019997973753466486,0.08270854514920802,-0.0033989299554377794,0.14386631548404694,-0.0024856131058186293,-2.238461971282959,0.0006404202431440353,2.344672203063965,0.740764856338501,-0.03653538599610329,-0.14906209707260132,-0.02132079377770424,-0.27473342418670654,0.020444201305508614,0.3871530592441559,-0.09303686767816544,0.2646442295333028,3.0044985647356115,0.16209264913595026,0.02,1.0,0.8436482017517091,2.157493275594576,0.0,51.813472747802734,0.0,0.0,0.0,False,True,OK,metrics within configured thresholds
0.1,unknown,move_to_start,0.46,-0.04,0.222,0.5298699624620409,-0.0036997872313457862,0.20200187936151565,0.46340000000000003,-0.04,0.2235,-0.06986996246204086,-0.036300212768654215,0.019998120638484357,0.08123694929382774,-0.004057585261762142,0.1397407054901123,-0.00297191902063787,-2.2445218563079834,0.000742569100111723,2.3479177951812744,0.738886296749115,-0.03534528985619545,-0.23707033693790436,-0.027556437999010086,-0.32541459798812866,-5.30483084730804e-05,0.07590952515602112,-0.08803955465555191,0.2639961699979013,3.006745232214853,0.16040896695472878,0.02,1.0,0.8333380287170411,2.082358427359855,0.0,45.94004821777344,18.134715461730956,-45.94004821777344,0.0015,True,True,OK,metrics within configured thresholds
0.12,unknown,move_to_start,0.46,-0.04,0.222,0.5282110998753525,-0.004356429685766635,0.20200189707555508,0.46340000000000003,-0.04,0.225,-0.06821109987535251,-0.03564357031423337,0.019998102924444927,0.0795181889351594,-0.004779438022524118,0.13513952493667603,-0.00351585797034204,-2.2511112689971924,0.0008252952247858047,2.3507492542266846,0.7369921803474426,-0.03781900554895401,-0.24027800559997559,-0.02958935685455799,-0.32763904333114624,-4.776855348609388e-05,0.06709408015012741,-0.08903229236602783,0.26355796847944635,3.009535138363074,0.15956766028563849,0.02,1.0,0.8272781436920167,2.034031491288378,0.0,39.9073486328125,27.866581926345823,-39.9073486328125,0.003,True,True,OK,metrics within configured thresholds
0.14,unknown,move_to_start,0.46,-0.04,0.222,0.5265094490569606,-0.005048304161350876,0.20200182216038234,0.46340000000000003,-0.04,0.2265,-0.0665094490569606,-0.03495169583864913,0.01999817783961766,0.07774995159331519,-0.005538961850106716,0.13048939406871796,-0.004096555523574352,-2.2577152252197266,0.0009017877164296806,2.3534011840820312,0.7350800037384033,-0.03930968418717384,-0.24216938018798828,-0.03114631399512291,-0.3275832235813141,-0.0004734928079415113,0.05625851824879646,-0.08984769135713577,0.2631050473543987,3.011772624130993,0.15860278590207788,0.02,1.0,0.8206887310028077,1.9940084513560028,0.0,39.26853561401367,32.08085027360916,-39.26853561401367,0.0045000000000000005,True,True,OK,metrics within configured thresholds
0.16,unknown,move_to_start,0.46,-0.04,0.222,0.5247676776596196,-0.005763887622597712,0.20200157741508487,0.46340000000000003,-0.04,0.228,-0.0647676776596196,-0.03423611237740229,0.019998422584915132,0.07594011038985492,-0.006323068402707577,0.1257994920015335,-0.004705850034952164,-2.264319658279419,0.0009698567446321249,2.355862617492676,0.7331528067588806,-0.040399614721536636,-0.2440914511680603,-0.032363247126340866,-0.32741233706474304,-0.0007410033140331507,0.05021693557500839,-0.09058018028736115,0.26265004959217325,3.013902094530873,0.1576191782493958,0.02,1.0,0.8140847747802735,1.9626549001057196,0.0,38.6328010559082,34.59654014275074,-38.6328010559082,0.006,True,True,OK,metrics within configured thresholds
0.18,unknown,move_to_start,0.46,-0.04,0.222,0.5229866461519436,-0.0064973322941179685,0.20200144637431391,0.46340000000000003,-0.04,0.2295,-0.06298664615194355,-0.03350266770588203,0.01999855362568609,0.07409243202919133,-0.007125358562916517,0.12107118219137192,-0.005339715164154768,-2.2709202766418457,0.0010283984011039138,2.3581295013427734,0.7312126755714417,-0.0412578359246254,-0.2458128184080124,-0.033430393785238266,-0.32726022601127625,-0.0010366977658122778,0.042469680309295654,-0.09122960269451141,0.2621942559023994,3.0159123773722483,0.15661884840256357,0.02,1.0,0.8074803417205811,1.9400288605084335,0.0,37.888938903808594,36.00923146235585,-37.888938903808594,0.0075,True,True,OK,metrics within configured thresholds
