t,stroke_id,action_type,x_des,y_des,z_des,x_act,y_act,z_act,x_cmd,y_cmd,z_cmd,error_x,error_y,error_z,error_norm,q1,q2,q3,q4,q5,q6,q7,qdot1,qdot2,qdot3,qdot4,qdot5,qdot6,qdot7,sigma_min,condition_number,manipulability,lambda_dls,speed_scale,joint_limit_margin,tip_orientation_error_deg,desired_normal_force_n,measured_normal_force_n,filtered_normal_force_n,normal_force_error_n,normal_force_offset_m,force_control_active,contact_active,status,policy_reason
0.0,unknown,move_to_start,0.472,-0.04,0.222,0.5475835263739586,-0.00024649476953542674,0.21963945948562116,0.4754,-0.04,0.222,-0.0755835263739586,-0.03975350523046457,0.0023605405143788394,0.08543291396617285,-0.00025629953597672284,0.14235545694828033,-0.00021504283358808607,-2.195838212966919,0.00015690369764342904,2.3354709148406982,0.7479234933853149,-0.024311406537890434,-0.07877367734909058,-0.01834607869386673,-0.46067968010902405,0.007492093835026026,0.08429499715566635,-0.09894122928380966,0.2665572003797891,3.008301876015182,0.16884055787018598,0.02,1.0,0.8831720417022706,0.15606155620181958,0.0,0.0,0.0,0.0,0.0,False,False,OK,metrics within configured thresholds
0.02,unknown,move_to_start,0.472,-0.04,0.222,0.5437195378575128,-0.0008549400377673257,0.21569001560802314,0.4754,-0.04,0.222,-0.07171953785751284,-0.03914505996223268,0.006309984391976858,0.08195025157355527,-0.0009065810008905828,0.1419851928949356,-0.0007009691325947642,-2.206112861633301,0.0003034339752048254,2.3372671604156494,0.7458140254020691,-0.039255235344171524,-0.012830027379095554,-0.028673218563199043,-0.501278817653656,0.007072214037179947,0.08043179661035538,-0.10033360123634338,0.2662041653895852,3.0081264930173655,0.16769227775192888,0.02,1.0,0.8759617870330811,0.6205838377973785,0.0,0.0,0.0,0.0,0.0,False,False,OK,metrics within configured thresholds
0.04,unknown,move_to_start,0.472,-0.04,0.222,0.5394789188312158,-0.0016742152652046978,0.21106004083209187,0.4754,-0.04,0.222,-0.06747891883121582,-0.0383257847347953,0.010939959167908131,0.07837061291557683,-0.0017914886120706797,0.14254018664360046,-0.0013520073844119906,-2.216900587081909,0.00042845780262723565,2.33902645111084,0.7436807155609131,-0.048242319375276566,0.016175102442502975,-0.03507023677229881,-0.5165163278579712,0.006020531058311462,0.07927467674016953,-0.10147249698638916,0.2657328196800579,3.0067108915233396,0.16594683206640098,0.02,1.0,0.8656871383666993,1.1696506503440873,0.0,0.0,0.0,0.0,0.0,False,False,OK,metrics within configured thresholds
0.06,unknown,move_to_start,0.472,-0.04,0.222,0.5350663392464681,-0.0026151661984842632,0.20621099911027782,0.4754,-0.04,0.222,-0.0630663392464681,-0.037384833801515735,0.015789000889722182,0.07499520980311478,-0.0028185497503727674,0.14346559345722198,-0.0021053298842161894,-2.227850914001465,0.0005261821788735688,2.340768814086914,0.7415358424186707,-0.05370205640792847,0.02550497092306614,-0.03907150402665138,-0.519883930683136,0.004706704989075661,0.07899928838014603,-0.10202118754386902,0.2652157218850537,3.0054169522314824,0.16407095730461416,0.02,1.0,0.8548994129180909,1.7502256058231334,0.0,0.0,0.0,0.0,0.0,False,False,OK,metrics within configured thresholds
0.08,unknown,move_to_start,0.472,-0.04,0.222,0.5313122436661513,-0.0035913517799302953,0.2020021089110084,0.4754,-0.04,0.222,-0.05931224366615129,-0.03640864822006971,0.01999789108899161,0.07241165349536537,-0.003923713229596615,0.14407053589820862,-0.002878858707845211,-2.2381234169006348,0.0007074850145727396,2.3443174362182617,0.7393592596054077,-0.04579551890492439,-0.14519181847572327,-0.027097193524241447,-0.26097673177719116,0.023496374487876892,0.34164324402809143,-0.10808981955051422,0.26466296972860825,3.004430190786658,0.1621382120851464,0.02,1.0,0.8439490859985352,2.170115644917915,0.0,51.028465270996094,0.0,0.0,0.0,False,True,OK,metrics within configured thresholds
0.1,unknown,move_to_start,0.472,-0.04,0.222,0.5299207838433209,-0.00433206391055403,0.2020019687216011,0.4754,-0.04,0.2235,-0.05792078384332089,-0.03566793608944597,0.019998031278398914,0.07090091763099633,-0.0047429702244699,0.14000074565410614,-0.003479749895632267,-2.2440881729125977,0.000824425951577723,2.34745192527771,0.7371949553489685,-0.042867548763751984,-0.23473399877548218,-0.033160723745822906,-0.3217196762561798,-1.8204693333245814e-05,0.07054047286510468,-0.1015021875500679,0.26402828639400683,3.006366512905039,0.16044433394010255,0.02,1.0,0.8336765830993653,2.0990903985164464,0.0,44.79067611694336,17.85996284484863,-44.79067611694336,0.0015,True,True,OK,metrics within configured thresholds
0.12,unknown,move_to_start,0.472,-0.04,0.222,0.5282639088327497,-0.005120967849315714,0.20200179273784824,0.4754,-0.04,0.225,-0.056263908832749676,-0.03487903215068429,0.019998207262151763,0.0691527484241112,-0.0056107486598193645,0.13544213771820068,-0.004130932968109846,-2.2505993843078613,0.0009169288096018136,2.3501663208007812,0.7350162267684937,-0.04496375098824501,-0.23812364041805267,-0.03499617055058479,-0.3237667679786682,-6.471507367677987e-05,0.06174273043870926,-0.10245102643966675,0.26359993204679305,3.0090307261504172,0.1596123762442503,0.02,1.0,0.8277118270874024,2.0554169978975176,0.0,39.062232971191406,27.285712490081785,-39.062232971191406,0.003,True,True,OK,metrics within configured thresholds
0.14,unknown,move_to_start,0.472,-0.04,0.222,0.5265594264611286,-0.005941249302761648,0.20200181680371646,0.4754,-0.04,0.2265,-0.05455942646112866,-0.03405875069723835,0.019998183196283548,0.06735470915961302,-0.006511475425213575,0.130833700299263,-0.004817654844373465,-2.2571206092834473,0.0010006420779973269,2.352670431137085,0.7328189611434937,-0.04638988897204399,-0.2400396317243576,-0.03651776909828186,-0.3237065076828003,-0.0003871229710057378,0.05294664576649666,-0.10343315452337265,0.26315644469259,3.011128688710283,0.15865368164966856,0.02,1.0,0.8212006156921388,2.0215139817039782,0.0,38.281776428222656,31.407494658470153,-38.281776428222656,0.0045000000000000005,True,True,OK,metrics within configured thresholds
0.16,unknown,move_to_start,0.472,-0.04,0.222,0.524810712536143,-0.006784657107244855,0.20200168635697863,0.4754,-0.04,0.228,-0.052810712536143,-0.03321534289275514,0.019998313643021376,0.06551460074382721,-0.007436004001647234,0.12618446350097656,-0.005534246563911438,-2.263636589050293,0.0010737644042819738,2.354952812194824,0.730605959892273,-0.04748031124472618,-0.24187207221984863,-0.037830203771591187,-0.3233143091201782,-0.0007899228949099779,0.04238138720393181,-0.10421989858150482,0.2627127787617048,3.013074713320779,0.15767504576911923,0.02,1.0,0.8146793907165528,1.9976662924347028,0.0,37.494380950927734,33.81349327788353,-37.494380950927734,0.006,True,True,OK,metrics within configured thresholds
0.18,unknown,move_to_start,0.472,-0.04,0.222,0.523019140282863,-0.007646232079239448,0.2020017628319447,0.4754,-0.04,0.2295,-0.05101914028286303,-0.03235376792076056,0.019998237168055294,0.0636368483168571,-0.008379261009395123,0.12149756401777267,-0.006277456879615784,-2.2701427936553955,0.001135301194153726,2.3570139408111572,0.7283807396888733,-0.04836060851812363,-0.24362219870090485,-0.03902536258101463,-0.3225438892841339,-0.0012999091995880008,0.031097138300538063,-0.10473489761352539,0.2622697309118506,3.0148661950238225,0.15667865642047768,0.02,1.0,0.8081634109497071,1.9837902540839463,0.0,36.67115020751953,35.101803963449,-36.67115020751953,0.0075,True,True,OK,metrics within configured thresholds
