t,stroke_id,action_type,x_des,y_des,z_des,x_act,y_act,z_act,x_cmd,y_cmd,z_cmd,error_x,error_y,error_z,error_norm,q1,q2,q3,q4,q5,q6,q7,qdot1,qdot2,qdot3,qdot4,qdot5,qdot6,qdot7,sigma_min,condition_number,manipulability,lambda_dls,speed_scale,joint_limit_margin,tip_orientation_error_deg,desired_normal_force_n,measured_normal_force_n,filtered_normal_force_n,normal_force_error_n,normal_force_offset_m,force_control_active,contact_active,status,policy_reason
0.0,unknown,move_to_start,0.47,-0.03,0.222,0.547558080823358,-0.0001829724774585985,0.2196352866555334,0.4734,-0.03,0.222,-0.07755808082335802,-0.029817027522541402,0.0023647133444666124,0.08312582571309608,-0.0001903212396427989,0.14229527115821838,-0.00015971141692716628,-2.1959340572357178,0.00011642158642644063,2.3355069160461426,0.7484579682350159,-0.018054174259305,-0.08275827765464783,-0.013624630868434906,-0.4667454957962036,0.00556868826970458,0.08588942885398865,-0.0734732449054718,0.2665572003797891,3.008301876015182,0.16884055787018598,0.02,1.0,0.8831720417022706,0.15601023432524824,0.0,0.0,0.0,0.0,0.0,False,False,OK,metrics within configured thresholds
0.02,unknown,move_to_start,0.47,-0.03,0.222,0.5436582134249606,-0.0006349313189845105,0.21568210401750781,0.4734,-0.03,0.222,-0.0736582134249606,-0.029365068681015488,0.006317895982492189,0.07954719022846371,-0.0006732632173225284,0.1418393850326538,-0.0005207299836911261,-2.2063355445861816,0.00022527594410348684,2.337336778640747,0.7468909621238708,-0.02915780059993267,-0.01712830923497677,-0.021303119137883186,-0.5074988007545471,0.005259621888399124,0.0820714682340622,-0.07453551888465881,0.26619903904454123,3.008136544154951,0.1676783898937325,0.02,1.0,0.8758659427642823,0.6209881777680372,0.0,0.0,0.0,0.0,0.0,False,False,OK,metrics within configured thresholds
0.04,unknown,move_to_start,0.47,-0.03,0.222,0.5393810938890765,-0.0012435014716249977,0.21105062212223652,0.4734,-0.03,0.222,-0.06938109388907654,-0.028756498528375002,0.010949377877763483,0.07589836146299433,-0.0013305614702403545,0.1423037201166153,-0.0010046090465039015,-2.2172532081604004,0.00031809849315322936,2.3391287326812744,0.7453058362007141,-0.03583889454603195,0.011683288030326366,-0.026065994054079056,-0.5228951573371887,0.004475404508411884,0.08096267282962799,-0.07539823651313782,0.26572080607415904,3.006724813428574,0.16591322217120466,0.02,1.0,0.8654644554138184,1.1704426552657008,0.0,0.0,0.0,0.0,0.0,False,False,OK,metrics within configured thresholds
0.06,unknown,move_to_start,0.47,-0.03,0.222,0.5349336526991644,-0.0019424624928509333,0.2062011808910457,0.4734,-0.03,0.222,-0.0649336526991644,-0.028057537507149066,0.01579881910895431,0.07247901316283381,-0.002093538409098983,0.14313577115535736,-0.001564688514918089,-2.2283356189727783,0.0003905158373527229,2.340911626815796,0.7437120676040649,-0.039898186922073364,0.02091463841497898,-0.029048454016447067,-0.5263912677764893,0.0034932615235447884,0.08068697899580002,-0.0758095234632492,0.2651963507947898,3.005438926412393,0.16401707656340714,0.02,1.0,0.8545467918395997,1.7509155961998766,0.0,0.0,0.0,0.0,0.0,False,False,OK,metrics within configured thresholds
0.08,unknown,move_to_start,0.47,-0.03,0.222,0.5311617050145215,-0.0026639922423095457,0.2020018814037313,0.4734,-0.03,0.222,-0.06116170501452156,-0.027336007757690454,0.01999811859626871,0.06991377709580776,-0.002914133947342634,0.143642857670784,-0.002135445596650243,-2.2387337684631348,0.0005370445433072746,2.3445639610290527,0.742091715335846,-0.03321282938122749,-0.14730264246463776,-0.01796337217092514,-0.27030885219573975,0.022075269371271133,0.3770403563976288,-0.08137961477041245,0.2646348930238383,3.004480814203363,0.16206371280830317,0.02,1.0,0.8434643810272218,2.166489022389935,0.0,50.52592849731445,0.0,0.0,0.0,False,True,OK,metrics within configured thresholds
0.1,unknown,move_to_start,0.47,-0.03,0.222,0.5297491719526605,-0.0031847095403191054,0.20200209281310158,0.4734,-0.03,0.2235,-0.059749171952660496,-0.026815290459680893,0.019997907186898423,0.06847583254931222,-0.003490201663225889,0.1394960582256317,-0.0025598916690796614,-2.2448134422302246,0.0006258108769543469,2.3477745056152344,0.7404829859733582,-0.030772140249609947,-0.23919664323329926,-0.02401268109679222,-0.3282802402973175,-0.00022642480325885117,0.07128482311964035,-0.07543579488992691,0.2639884403085896,3.0065360977944566,0.16035464199852748,0.02,1.0,0.8330662315368653,2.0932637039251327,0.0,45.025333404541016,17.684074974060056,-45.025333404541016,0.0015,True,True,OK,metrics within configured thresholds
0.12,unknown,move_to_start,0.47,-0.03,0.222,0.5280616660956714,-0.003752957759555202,0.20200189904328367,0.4734,-0.03,0.225,-0.05806166609567143,-0.026247042240444798,0.019998100956716336,0.06678314411625101,-0.004114964045584202,0.13484497368335724,-0.0030308791901916265,-2.2514538764953613,0.0006952619878575206,2.350538492202759,0.7388616800308228,-0.0326789990067482,-0.24286982417106628,-0.02559630759060383,-0.3303658068180084,-0.00017954953364096582,0.06414542347192764,-0.07622764259576797,0.26355048056706365,3.009281707366442,0.1595075235498796,0.02,1.0,0.8269865577697755,2.048867125115761,0.0,39.06277084350586,27.25351542472839,-39.06277084350586,0.003,True,True,OK,metrics within configured thresholds
0.14,unknown,move_to_start,0.47,-0.03,0.222,0.5263262532650455,-0.00434910283014269,0.20200190904930296,0.4734,-0.03,0.2265,-0.05632625326504548,-0.025650897169857308,0.019998090950697045,0.06504259353814999,-0.004769243765622377,0.13014106452465057,-0.003531886963173747,-2.2581074237823486,0.0007583352271467447,2.3530917167663574,0.737225353717804,-0.03389275446534157,-0.24490886926651,-0.026898248121142387,-0.3302607536315918,-0.0005942893913015723,0.05202231556177139,-0.07685218006372452,0.26309742765205063,3.011430344067748,0.15852914159703718,0.02,1.0,0.8203461235046388,2.0142739289514386,0.0,38.24617385864258,31.386754821300503,-38.24617385864258,0.0045000000000000005,True,True,OK,metrics within configured thresholds
0.16,unknown,move_to_start,0.47,-0.03,0.222,0.5245466937589234,-0.004965031048541647,0.2020018940737029,0.4734,-0.03,0.228,-0.054546693758923404,-0.02503496895145835,0.01999810592629711,0.06326148679148837,-0.005444015841931105,0.12539419531822205,-0.004057225305587053,-2.264758586883545,0.0008135652751661837,2.35542631149292,0.7355769276618958,-0.034797295928001404,-0.24687717854976654,-0.027965329587459564,-0.32991036772727966,-0.0009523176122456789,0.041240133345127106,-0.07738658785820007,0.26264383340822595,3.0134297546407516,0.15753028423739673,0.02,1.0,0.8136925762176515,1.989597063685922,0.0,37.47526550292969,33.787551484370226,-37.47526550292969,0.006,True,True,OK,metrics within configured thresholds
0.18,unknown,move_to_start,0.47,-0.03,0.222,0.5227250191739391,-0.005596339332457884,0.20200166782837212,0.4734,-0.03,0.2295,-0.052725019173939125,-0.024403660667542116,0.019998332171627886,0.06144428037267226,-0.00613450538367033,0.12060756981372833,-0.004603860899806023,-2.2714030742645264,0.0008600535220466554,2.3575446605682373,0.7339181900024414,-0.03555798530578613,-0.2486957162618637,-0.02886872924864292,-0.32958418130874634,-0.001135505037382245,0.033298417925834656,-0.07806245982646942,0.26219015431688325,3.0152824410280936,0.15651300871914545,0.02,1.0,0.8070414131164552,1.9746693115044591,0.0,36.634727478027344,35.078251390866036,-36.634727478027344,0.0075,True,True,OK,metrics within configured thresholds
