t,stroke_id,action_type,x_des,y_des,z_des,x_act,y_act,z_act,x_cmd,y_cmd,z_cmd,error_x,error_y,error_z,error_norm,q1,q2,q3,q4,q5,q6,q7,qdot1,qdot2,qdot3,qdot4,qdot5,qdot6,qdot7,sigma_min,condition_number,manipulability,lambda_dls,speed_scale,joint_limit_margin,tip_orientation_error_deg,desired_normal_force_n,measured_normal_force_n,filtered_normal_force_n,normal_force_error_n,normal_force_offset_m,force_control_active,contact_active,status,policy_reason
0.0,unknown,move_to_start,0.5,0.04,0.222,0.5476552161192138,0.0003753620491839482,0.21965103651763623,0.5034,0.04,0.222,-0.04765521611921375,0.039624637950816055,0.0023489634823637695,0.062021360719865706,0.00039038737304508686,0.1425347924232483,0.0003273174515925348,-2.1955502033233643,-0.00023983362189028412,2.3353397846221924,0.7531626224517822,0.03701908886432648,-0.06693370640277863,0.027934540063142776,-0.4422972798347473,-0.011360397562384605,0.07826067507266998,0.15067744255065918,0.2665572003797891,3.008301876015182,0.16884055787018598,0.02,1.0,0.8831720417022706,0.15745071157388976,0.0,0.0,0.0,0.0,0.0,False,False,OK,metrics within configured thresholds
0.02,unknown,move_to_start,0.5,0.04,0.222,0.5438988323618567,0.0013044417115420576,0.21572119767130432,0.5034,0.04,0.222,-0.043898832361856654,0.03869555828845794,0.006278802328695682,0.058854711558826565,0.001382380840368569,0.14241193234920502,0.001068561221472919,-2.2054245471954346,-0.00046142289647832513,2.336989164352417,0.7563883662223816,0.05993788316845894,-0.0008103814907371998,0.04378511756658554,-0.48133745789527893,-0.010637527331709862,0.07382913678884506,0.15342041850090027,0.26622103525596946,3.008060843425891,0.16773254251754866,0.02,1.0,0.8762497966766358,0.6215704225071351,0.0,0.0,0.0,0.0,0.0,False,False,OK,metrics within configured thresholds
0.04,unknown,move_to_start,0.5,0.04,0.222,0.5397854494559783,0.002558326927705324,0.21113683027037922,0.5034,0.04,0.222,-0.03978544945597828,0.03744167307229468,0.010863169729620786,0.05570250737122476,0.0027358285151422024,0.14320090413093567,0.002063759369775653,-2.2157645225524902,-0.0006497276481240988,2.3385963439941406,0.7596603035926819,0.07385511696338654,0.02679874561727047,0.053670644760131836,-0.49385082721710205,-0.009015536867082119,0.07237647473812103,0.155631422996521,0.26577295490991804,3.006581994590205,0.16604647174829298,0.02,1.0,0.8663754528045655,1.1670720086005884,0.0,0.0,0.0,0.0,0.0,False,False,OK,metrics within configured thresholds
0.06,unknown,move_to_start,0.5,0.04,0.222,0.5355319480904226,0.004001751508322818,0.2063810897816911,0.5034,0.04,0.222,-0.035531948090422594,0.03599824849167718,0.015618910218308912,0.05293716639542222,0.0043097431771457195,0.1443159133195877,0.0032166747841984034,-2.2262027263641357,-0.0007966951816342771,2.340182065963745,0.7629511952400208,0.08232972770929337,0.03326332941651344,0.05983884632587433,-0.49360787868499756,-0.007028515916317701,0.07176260650157928,0.1565442830324173,0.26528331216316925,3.005205762887665,0.16423945526667913,0.02,1.0,0.8560354774475099,1.7381098216014084,0.0,0.0,0.0,0.0,0.0,False,False,OK,metrics within configured thresholds
0.08,unknown,move_to_start,0.5,0.04,0.222,0.5316644507387186,0.005538249488747013,0.20200197698226555,0.5034,0.04,0.222,-0.0316644507387186,0.03446175051125299,0.019998023017734456,0.05089371880205276,0.006019177846610546,0.1452823132276535,0.0044442578218877316,-2.2362775802612305,-0.0009730461752042174,2.3430356979370117,0.7662593722343445,0.0839267373085022,-0.11521726846694946,0.04771684855222702,-0.2210165411233902,-0.04563656449317932,0.34051021933555603,0.16587333381175995,0.26476315681956364,3.004122851611201,0.1623892017703602,0.02,1.0,0.8455972736358643,2.207175581936953,0.0,45.590126037597656,0.0,0.0,0.0,False,True,OK,metrics within configured thresholds
0.1,unknown,move_to_start,0.5,0.04,0.222,0.5303680914782551,0.00686540980120057,0.2020021324550761,0.5034,0.04,0.2235,-0.030368091478255144,0.033134590198799434,0.019997867544923914,0.04919386906941117,0.00748577993363142,0.14156843721866608,0.0055067953653633595,-2.241698980331421,-0.001141563756391406,2.3457682132720947,0.7695454359054565,0.07362822443246841,-0.22074848413467407,0.05580783262848854,-0.29964950680732727,-0.0002950524212792516,0.05140221491456032,0.15412290394306183,0.26417313646309426,3.005151542925839,0.1606792530217964,0.02,1.0,0.8355224197387696,2.148394671535656,0.0,42.13703536987305,15.956544113159179,-42.13703536987305,0.0015,True,True,OK,metrics within configured thresholds
0.12,unknown,move_to_start,0.5,0.04,0.222,0.5287529901534134,0.008203647467837395,0.20200225962135043,0.5034,0.04,0.225,-0.02875299015341337,0.031796352532162606,0.01999774037864957,0.047303827512831575,0.008958153426647186,0.13728494942188263,0.006599463988095522,-2.247748851776123,-0.0012647317489609122,2.3479535579681396,0.772829532623291,0.07446277886629105,-0.2237512320280075,0.057309117168188095,-0.30144864320755005,0.0008915336802601814,0.023458734154701233,0.15422983467578888,0.26379079967624436,3.007394317952442,0.15991621288962346,0.02,1.0,0.8301010196685792,2.1243337768862354,0.0,35.112735748291016,25.119716053009032,-35.112735748291016,0.003,True,True,OK,metrics within configured thresholds
0.14,unknown,move_to_start,0.5,0.04,0.222,0.5270745556968364,0.009558731261130847,0.20200204867505395,0.5034,0.04,0.2265,-0.027074555696836367,0.030441268738869154,0.019997951324946056,0.045383041610364314,0.010447124019265175,0.13295550644397736,0.007722143083810806,-2.253782033920288,-0.0013711776118725538,2.34980845451355,0.7761209607124329,0.07552560418844223,-0.22598698735237122,0.05841215327382088,-0.2995494604110718,0.0004324158071540296,0.02162317745387554,0.15517620742321014,0.26339636506275194,3.0088680060372415,0.15900408704565872,0.02,1.0,0.824051148223877,2.115619579237138,0.0,34.15343475341797,28.617272946357726,-34.15343475341797,0.0045000000000000005,True,True,OK,metrics within configured thresholds
0.16,unknown,move_to_start,0.5,0.04,0.222,0.5253383769216529,0.010929354047030042,0.2020020666001519,0.5034,0.04,0.228,-0.02533837692165286,0.02907064595296996,0.019997933399848095,0.04344022492358251,0.011952228844165802,0.12859636545181274,0.008874769322574139,-2.2597720623016357,-0.0014585839817300439,2.3513152599334717,0.7794108390808105,0.0763610377907753,-0.22714641690254211,0.05976550653576851,-0.2974567711353302,0.0011735811131075025,0.005302740260958672,0.1552480310201645,0.2630092013864964,3.010029731787717,0.15806926933916862,0.02,1.0,0.818017966079712,2.122669280713088,0.0,32.52747344970703,30.554929578828812,-32.52747344970703,0.006,True,True,OK,metrics within configured thresholds
0.18,unknown,move_to_start,0.5,0.04,0.222,0.5235481851947857,0.012312699303161949,0.20200209477798609,0.5034,0.04,0.2295,-0.023548185194785742,0.02768730069683805,0.019997905222013918,0.04148517637799925,0.013471207581460476,0.12421688437461853,0.010055296123027802,-2.2657058238983154,-0.0015259108040481806,2.3524703979492188,0.7826888561248779,0.07698272913694382,-0.22817818820476532,0.061010200530290604,-0.2939920723438263,0.002107228385284543,-0.012428110465407372,0.15441492199897766,0.2626311374154908,3.010865535921841,0.15711542373395915,0.02,1.0,0.8120279376983643,2.145473950637064,0.0,31.11260986328125,31.24531993363619,-31.11260986328125,0.0075,True,True,OK,metrics within configured thresholds
