t,stroke_id,action_type,x_des,y_des,z_des,x_act,y_act,z_act,x_cmd,y_cmd,z_cmd,error_x,error_y,error_z,error_norm,q1,q2,q3,q4,q5,q6,q7,qdot1,qdot2,qdot3,qdot4,qdot5,qdot6,qdot7,sigma_min,condition_number,manipulability,lambda_dls,speed_scale,joint_limit_margin,tip_orientation_error_deg,desired_normal_force_n,measured_normal_force_n,filtered_normal_force_n,normal_force_error_n,normal_force_offset_m,force_control_active,contact_active,status,policy_reason
0.0,unknown,move_to_start,0.5,0.03464101615137754,0.222,0.547624489233107,0.0003318771813747299,0.21964614996029225,0.5034,0.03464101615137754,0.222,-0.047624489233107026,0.03430913897000281,0.0023538500397077555,0.05874308130824195,0.0003451859229244292,0.14246287941932678,0.0002894256613217294,-2.1956639289855957,-0.000212103157537058,2.335379123687744,0.7527964115142822,0.03273261711001396,-0.07168661057949066,0.024702012538909912,-0.4495033323764801,-0.01004249881953001,0.0800548791885376,0.1332288235425949,0.2665572003797891,3.008301876015182,0.16884055787018598,0.02,1.0,0.8831720417022706,0.1575537711383715,0.0,0.0,0.0,0.0,0.0,False,False,OK,metrics within configured thresholds
0.02,unknown,move_to_start,0.5,0.03464101615137754,0.222,0.5438260094218077,0.001153748114798138,0.21571301644134921,0.5034,0.03464101615137754,0.222,-0.0438260094218077,0.0334872680365794,0.006286983558650788,0.05551254258868742,0.0012226502876728773,0.1422366201877594,0.0009454448008909822,-2.2056896686553955,-0.00040798416011966765,2.3370721340179443,0.7556518316268921,0.05303521826863289,-0.006044830195605755,0.03875906765460968,-0.4886791706085205,-0.009400852024555206,0.07562559843063354,0.13581161201000214,0.2662150800545403,3.008068584972199,0.16771584689695113,0.02,1.0,0.8761360710144044,0.6219379497772072,0.0,0.0,0.0,0.0,0.0,False,False,OK,metrics within configured thresholds
0.04,unknown,move_to_start,0.5,0.03464101615137754,0.222,0.5396710232114039,0.002263624930513082,0.2111300327438561,0.5034,0.03464101615137754,0.222,-0.03967102321140392,0.03237739122086446,0.010869967256143892,0.05234731829863207,0.002420606091618538,0.142912819981575,0.001827050349675119,-2.216181993484497,-0.0005742262583225965,2.338719129562378,0.7585508227348328,0.0653933733701706,0.021113291382789612,0.04755539447069168,-0.5012195706367493,-0.00795713160187006,0.07422842085361481,0.13788746297359467,0.26575870216971015,3.006598326564197,0.16600655195971845,0.02,1.0,0.8661103313446046,1.167441659793247,0.0,0.0,0.0,0.0,0.0,False,False,OK,metrics within configured thresholds
0.06,unknown,move_to_start,0.5,0.03464101615137754,0.222,0.5353783255155695,0.0035419742901841565,0.2063815673876545,0.5034,0.03464101615137754,0.222,-0.03537832551556952,0.03109904186119338,0.015618432612345495,0.04962571670249441,0.0038144236896187067,0.14390650391578674,0.002849136246368289,-2.2267708778381348,-0.0007035760791040957,2.340345621109009,0.7614676356315613,0.07292718440294266,0.027146071195602417,0.05305544659495354,-0.500843346118927,-0.0061841607093811035,0.07359302043914795,0.13873377442359924,0.26526018452187855,3.005235784543285,0.16417590753916012,0.02,1.0,0.855618006515503,1.737844851383948,0.0,0.0,0.0,0.0,0.0,False,False,OK,metrics within configured thresholds
0.08,unknown,move_to_start,0.5,0.03464101615137754,0.222,0.5314621483475145,0.0049038234068084705,0.2020023029263908,0.5034,0.03464101615137754,0.222,-0.031462148347514485,0.02973719274456907,0.01999769707360921,0.04768726558753918,0.005329079460352659,0.14475280046463013,0.003938816022127867,-2.237008571624756,-0.000856911763548851,2.343215227127075,0.764398992061615,0.0752314031124115,-0.11866184324026108,0.04140935838222504,-0.23154708743095398,-0.044768065214157104,0.36879950761795044,0.14823094010353088,0.26473051882282056,3.0041753337312853,0.16230208863614706,0.02,1.0,0.8450291221618653,2.2084468235841705,0.0,44.84511184692383,0.0,0.0,0.0,False,True,OK,metrics within configured thresholds
0.1,unknown,move_to_start,0.5,0.03464101615137754,0.222,0.5301298468681321,0.006068989947218155,0.2020018593685542,0.5034,0.03464101615137754,0.2235,-0.030129846868132137,0.028572026204159384,0.01999814063144581,0.04608789409837844,0.006617956794798374,0.14093619585037231,0.0048730638809502125,-2.242572546005249,-0.001010352629236877,2.345991611480713,0.7673094272613525,0.06482119858264923,-0.2261013686656952,0.04927670210599899,-0.30732059478759766,-0.00019599869847297668,0.05506964400410652,0.13701629638671875,0.26413110996541433,3.0052003925531143,0.16056467883907585,0.02,1.0,0.8347914283752442,2.1494587109397374,0.0,42.12107849121094,15.695789146423339,-42.12107849121094,0.0015,True,True,OK,metrics within configured thresholds
0.12,unknown,move_to_start,0.5,0.03464101615137754,0.222,0.528472632916649,0.0072448450732891375,0.2020020415193037,0.5034,0.03464101615137754,0.225,-0.028472632916649032,0.0273961710780884,0.0199979584806963,0.04428497892448168,0.007911385037004948,0.13654054701328278,0.005835539661347866,-2.2487707138061523,-0.001118659507483244,2.3481943607330322,0.7702171206474304,0.06568188220262527,-0.2299034148454666,0.05038416385650635,-0.3086667060852051,9.300251258537173e-05,0.0381680428981781,0.1370367854833603,0.26373910182838517,3.0074782573074335,0.15977919796615447,0.02,1.0,0.8292274539947511,2.1264872223039775,0.0,34.94960403442383,24.944640417099,-34.94960403442383,0.003,True,True,OK,metrics within configured thresholds
0.14,unknown,move_to_start,0.5,0.03464101615137754,0.222,0.526751711474118,0.008435889777669398,0.20200213009848275,0.5034,0.03464101615137754,0.2265,-0.026751711474118034,0.026205126373708143,0.01999786990151725,0.04245323916563355,0.009220278821885586,0.1320970207452774,0.006825568620115519,-2.2549524307250977,-0.001211704220622778,2.350059986114502,0.773131787776947,0.0664735957980156,-0.23135483264923096,0.051745880395174026,-0.30727192759513855,0.0009972513653337955,0.017521262168884277,0.1373281180858612,0.2633354642223406,3.008958837867021,0.15884203336047492,0.02,1.0,0.8230292861938477,2.119132053076105,0.0,33.46672058105469,28.446377683162687,-33.46672058105469,0.0045000000000000005,True,True,OK,metrics within configured thresholds
0.16,unknown,move_to_start,0.5,0.03464101615137754,0.222,0.5249716319998925,0.009641859394117647,0.20200188319195223,0.5034,0.03464101615137754,0.228,-0.024971631999892496,0.024999156757259892,0.019998116808047778,0.04060129208757316,0.010544299148023129,0.1276227980852127,0.007843353785574436,-2.2610890865325928,-0.0012866526376456022,2.3515634536743164,0.7760438323020935,0.06728585064411163,-0.23301495611667633,0.05291150137782097,-0.3045046031475067,0.001373204286210239,0.005322202108800411,0.13736236095428467,0.2629390976535459,3.0101229332294026,0.15788161041167903,0.02,1.0,0.8168475692749024,2.128195537444928,0.0,32.20545959472656,30.203497697424886,-32.20545959472656,0.006,True,True,OK,metrics within configured thresholds
0.18,unknown,move_to_start,0.5,0.03464101615137754,0.222,0.523137102180654,0.010860421688486154,0.20200225364998992,0.5034,0.03464101615137754,0.2295,-0.023137102180654012,0.023780594462891387,0.019997746350010087,0.03873954090339568,0.011881841346621513,0.12312719225883484,0.008887192234396935,-2.267167091369629,-0.0013427924131974578,2.3527040481567383,0.778944194316864,0.06791344285011292,-0.23364579677581787,0.05411013960838318,-0.3015309274196625,0.0023627220652997494,-0.015039092861115932,0.13665059208869934,0.26255192419909845,3.010951724768621,0.15690121212605315,0.02,1.0,0.8107109134674073,2.1534644028119065,0.0,30.481605529785156,30.90418436148047,-30.481605529785156,0.0075,True,True,OK,metrics within configured thresholds
0.2,unknown,move_to_start,0.5,0.03464101615137754,0.222,0.5212508548321813,0.012087918412759547,0.2020022280784858,0.5034,0.03464101615137754,0.231,-0.021250854832181254,0.022553097738617994,0.019997771921514196,0.036880237669122996,0.013229545205831528,0.11862143874168396,0.009954214096069336,-2.273169994354248,-0.0013785981573164463,2.3534674644470215,0.7818210124969482,0.06838259845972061,-0.23405811190605164,0.055054642260074615,-0.2973737418651581,0.0030492874793708324,-0.030811136588454247,0.13566358387470245,0.2621744576580636,3.0114491277877673,0.15590345590765814,0.02,1.0,0.8046329086303712,2.195455241287229,0.0,28.934539794921875,30.756281770387112,-28.934539794921875,0.009,True,True,OK,metrics within configured thresholds
0.22,unknown,move_to_start,0.5,0.03464101615137754,0.222,0.5193193707204052,0.013319467720344471,0.20200216389379508,0.5034,0.03464101615137754,0.2325,-0.019319370720405238,0.021321548431033066,0.019997836106204925,0.03503940583771325,0.014583298936486244,0.1141197606921196,0.011040536686778069,-2.279078960418701,-0.001393166254274547,2.3538546562194824,0.7846623659133911,0.06863201409578323,-0.23352177441120148,0.05580923333764076,-0.29282063245773315,0.0038168844766914845,-0.047117672860622406,0.13410869240760803,0.2618077431158409,3.0116065765771896,0.1548903560277816,0.02,1.0,0.798630005645752,2.253861683410438,0.0,27.081523895263672,30.118672078974278,-27.081523895263672,0.010499999999999999,True,True,OK,metrics within configured thresholds
0.24,unknown,move_to_start,0.5,0.03464101615137754,0.222,0.5173460003961884,0.01454970319118439,0.2020023891469221,0.5034,0.03464101615137754,0.234,-0.017346000396188388,0.020091312960193147,0.019997610853077913,0.03323325181260679,0.015937793999910355,0.10963436216115952,0.012141488492488861,-2.28487491607666,-0.0013847557129338384,2.353848457336426,0.7874535322189331,0.06855911761522293,-0.23248058557510376,0.056359417736530304,-0.28685262799263,0.004850688390433788,-0.06629161536693573,0.13169525563716888,0.26145257113087456,3.0114290277206814,0.15386540538735388,0.02,1.0,0.7927210395812989,2.3292778312023716,0.0,25.29926300048828,29.055670214675565,-25.29926300048828,0.011999999999999999,True,True,OK,metrics within configured thresholds
0.26,unknown,move_to_start,0.5,0.03464101615137754,0.222,0.5153381279833955,0.015772786894822737,0.20200257515767792,0.5034,0.03464101615137754,0.2355,-0.01533812798339551,0.018868229256554802,0.019997424842322087,0.031482776968324314,0.01728745736181736,0.10518131405115128,0.013251392170786858,-2.290538787841797,-0.0013532830635085702,2.3534531593322754,0.7901814579963684,0.06820151954889297,-0.23053276538848877,0.056603334844112396,-0.28008726239204407,0.005803389940410852,-0.08421382308006287,0.1286267787218094,0.2611105615983526,3.0108979331627195,0.15283096900498577,0.02,1.0,0.7869250839233399,2.4212811886382593,0.0,23.34699821472168,27.740927689710016,-23.34699821472168,0.013499999999999998,True,True,OK,metrics within configured thresholds
0.28,unknown,move_to_start,0.5,0.03464101615137754,0.222,0.5133054011691204,0.01698169376068276,0.20200300194900847,0.5034,0.03464101615137754,0.237,-0.013305401169120379,0.01765932239069478,0.019996998050991532,0.029812166956145324,0.018626118078827858,0.10077918320894241,0.014363771304488182,-2.2960495948791504,-0.001299187308177352,2.3526804447174072,0.7928302884101868,0.06748741865158081,-0.22732964158058167,0.05659841373562813,-0.27270352840423584,0.007083069533109665,-0.1070016622543335,0.12485899031162262,0.26078273489538484,3.0100197954949053,0.15179098364641289,0.02,1.0,0.7812612121582032,2.529071577997229,0.0,21.214656829833984,26.2030523734641,-21.214656829833984,0.014999999999999998,True,True,OK,metrics within configured thresholds
0.3,unknown,move_to_start,0.5,0.03464101615137754,0.222,0.5112549726685499,0.018169766646409773,0.20200317303976037,0.5034,0.03464101615137754,0.2385,-0.011254972668549912,0.016471249504967766,0.019996826960239633,0.028246230872498244,0.019946802407503128,0.09644545614719391,0.015471513383090496,-2.301386594772339,-0.0012227434199303389,2.3515312671661377,0.7953856587409973,0.0664551630616188,-0.22395458817481995,0.05608706921339035,-0.26351892948150635,0.007717152126133442,-0.1195349395275116,0.12058104574680328,0.26047007507659453,3.0088070000613025,0.15075033583915023,0.02,1.0,0.7757504051208497,2.6523908431726695,0.0,19.375751495361328,24.45711393319356,-19.375751495361328,0.016499999999999997,True,True,OK,metrics within configured thresholds
0.32,unknown,move_to_start,0.5,0.03464101615137754,0.222,0.5091971949768672,0.019329548536933524,0.20200362995174956,0.5034,0.03464101615137754,0.24,-0.009197194976867218,0.015311467614444015,0.019996370048250445,0.026812016915130556,0.02124243974685669,0.09219832718372345,0.01656700298190117,-2.306530714035034,-0.0011252359254285693,2.350022792816162,0.7978325486183167,0.06503993272781372,-0.21918833255767822,0.05527979135513306,-0.2539820969104767,0.008637778460979462,-0.13681572675704956,0.11550945043563843,0.2601736582066064,3.0072614637009996,0.1497125680783894,0.02,1.0,0.7704134052276612,2.7902276444085095,0.0,17.127361297607422,22.67863707995228,-17.127361297607422,0.018,True,True,OK,metrics within configured thresholds
0.34,unknown,move_to_start,0.5,0.03464101615137754,0.222,0.5071423801793331,0.020453891018929048,0.20200396242484214,0.5034,0.03464101615137754,0.2415,-0.007142380179333108,0.014187125132448491,0.01999603757515786,0.025536828950694077,0.022505750879645348,0.08805710077285767,0.017642315477132797,-2.3114635944366455,-0.0010085918474942446,2.3481764793395996,0.8001581430435181,0.06323821097612381,-0.21368661522865295,0.054072055965662,-0.2432047575712204,0.00941344816237688,-0.15226201713085175,0.1096959039568901,0.25989475414260443,3.005395742033653,0.14868299925251358,0.02,1.0,0.7652692859649659,2.941384841890066,0.0,15.064126968383789,20.73569055613158,-15.064126968383789,0.0195,True,True,OK,metrics within configured thresholds
0.36,unknown,move_to_start,0.5,0.03464101615137754,0.222,0.5051018775658921,0.021535667418414426,0.20200442830296586,0.5034,0.03464101615137754,0.243,-0.005101877565892088,0.013105348732963113,0.019995571697034142,0.02444590369778061,0.0237294789403677,0.08403996378183365,0.01868947222828865,-2.3161683082580566,-0.0008752686553634703,2.346018075942993,0.8023508787155151,0.06107160076498985,-0.20728416740894318,0.05249100551009178,-0.231729194521904,0.010149670764803886,-0.16773073375225067,0.10343749821186066,0.259634013706651,3.003229314351854,0.1476662484943487,0.02,1.0,0.7603364055633546,3.10447573441667,0.0,12.931714057922363,18.750643300419853,-12.931714057922363,0.021,True,True,WARNING,metrics within configured thresholds; tip_orientation_error=3.10deg
0.38,unknown,move_to_start,0.5,0.03464101615137754,0.222,0.5030835729824678,0.02256807965195634,0.20200489729273166,0.5034,0.03464101615137754,0.2445,-0.0030835729824677527,0.012072936499421198,0.019995102707268342,0.023559888589114158,0.024906521663069725,0.08016229420900345,0.01970096305012703,-2.3206310272216797,-0.0007271191570907831,2.3435635566711426,0.8044009804725647,0.05857781320810318,-0.20018181204795837,0.050535447895526886,-0.21973003447055817,0.01064163539558649,-0.17998012900352478,0.09667988121509552,0.25939232114705124,3.0007831262983964,0.146667606440622,0.02,1.0,0.7556316917419434,3.2786783014439393,0.0,10.881393432617188,16.71401806554573,-10.881393432617188,0.022500000000000003,True,True,WARNING,metrics within configured thresholds; tip_orientation_error=3.28deg
0.4,unknown,move_to_start,0.5,0.03464101615137754,0.222,0.5010987091478554,0.02354532125721999,0.20200520121164692,0.5034,0.03464101615137754,0.246,-0.00109870914785537,0.01109569489415755,0.019994798788353085,0.02289352715425347,0.026030438020825386,0.07643766701221466,0.020669598132371902,-2.3248441219329834,-0.0005678346497006714,2.3408541679382324,0.8063023090362549,0.05579346418380737,-0.1923481673002243,0.04826519265770912,-0.2074042409658432,0.011051714420318604,-0.19164296984672546,0.08960776031017303,0.25917066837471675,2.9980657955453096,0.1456907181833892,0.02,1.0,0.7511689727783204,3.461957749497066,0.0,8.854400634765625,14.67259944402074,-8.854400634765625,0.024000000000000004,True,True,WARNING,metrics within configured thresholds; tip_orientation_error=3.46deg
0.42,unknown,move_to_start,0.5,0.03464101615137754,0.222,0.4991992281966792,0.024484830228680355,0.2020058984849311,0.5034,0.03464101615137754,0.2445,0.0008007718033207767,0.010156185922697184,0.01999410151506889,0.02243999651007696,0.02710798569023609,0.07279417663812637,0.021617038175463676,-2.3290233612060547,-0.0004038815968669951,2.338538885116577,0.8082146644592285,0.05435703694820404,-0.18986009061336517,0.0477132573723793,-0.20777034759521484,0.01134535763412714,-0.1725674718618393,0.09016775339841843,0.258968818082861,2.9951149809398077,0.14474009926843037,0.02,1.0,0.7469558780670167,3.6253652461371866,0.0,6.8727264404296875,12.63622986078145,-6.8727264404296875,0.022500000000000003,True,True,WARNING,metrics within configured thresholds; tip_orientation_error=3.63deg
0.44,unknown,move_to_start,0.5,0.03464101615137754,0.222,0.49737390527706293,0.02540295622776931,0.20200631885516465,0.5034,0.03464101615137754,0.243,0.002626094722937067,0.009238059923608228,0.01999368114483535,0.022180744134662367,0.02816353179514408,0.06923098117113113,0.022552460432052612,-2.3331546783447266,-0.0002406437270110473,2.3365368843078613,0.8101025819778442,0.05359736457467079,-0.18496841192245483,0.04697788506746292,-0.20437033474445343,0.010279400274157524,-0.15601441264152527,0.08959730714559555,0.25874725240253166,2.9927336730796172,0.14382076061759752,0.02,1.0,0.7427766387939454,3.7726752821050447,0.0,4.8679518699646,10.619003663658333,-4.8679518699646,0.021,True,True,WARNING,metrics within configured thresholds; tip_orientation_error=3.77deg
0.46,unknown,move_to_start,0.5,0.03464101615137754,0.222,0.4956451002493954,0.02630162151682173,0.20200701479069047,0.5034,0.03464101615137754,0.2415,0.004354899750604602,0.00833939463455581,0.019992985209309533,0.022095929767455905,0.02919972874224186,0.06578536331653595,0.0234745554625988,-2.3371975421905518,-8.533481013728306e-05,2.334892511367798,0.8119581937789917,0.05270589888095856,-0.1783549189567566,0.04609217122197151,-0.19965405762195587,0.008878753520548344,-0.1359483152627945,0.08825106918811798,0.25851036094357466,2.9908183397390644,0.14292972208728377,0.02,1.0,0.7386453216552735,3.9011687599537415,0.0,2.5907492637634277,8.606135535865526,-2.5907492637634277,0.0195,True,True,WARNING,metrics within configured thresholds; tip_orientation_error=3.90deg
0.48,unknown,move_to_start,0.5,0.03464101615137754,0.222,0.49403427275989137,0.027177977309017703,0.20200728536348372,0.5034,0.03464101615137754,0.24,0.005965727240108631,0.007463038842359836,0.01999271463651628,0.022158418012193877,0.03021320141851902,0.06249171867966652,0.024377988651394844,-2.3411192893981934,5.627530481433496e-05,2.3336551189422607,0.8137696385383606,0.051471009850502014,-0.1701851636171341,0.04503637179732323,-0.1929294317960739,0.007804958149790764,-0.11476189643144608,0.0861060619354248,0.258260502667698,2.989406817646143,0.1420777986043175,0.02,1.0,0.7346024578094483,4.008108474711568,0.0,0.26130688190460205,6.500750340629792,-0.26130688190460205,0.018,True,True,WARNING,metrics within configured thresholds; tip_orientation_error=4.01deg
0.5,unknown,move_to_start,0.5,0.03464101615137754,0.222,0.49257224363327423,0.02803228837287829,0.2020136719529416,0.5034,0.03464101615137754,0.2385,0.0074277563667257684,0.0066087277784992494,0.01998632804705841,0.022322637754046373,0.031203806400299072,0.05938046798110008,0.02525908313691616,-2.344879627227783,0.00017960208060685545,2.3329031467437744,0.8155210018157959,0.04977666959166527,-0.1674911081790924,0.043689239770174026,-0.17557144165039062,0.006337933707982302,-0.042192667722702026,0.08320330083370209,0.2579989229520351,2.988549522562469,0.14127448229245199,0.02,1.0,0.7306807106018067,4.088417265186092,0.0,0.0,4.316945130075976,0.0,0.016499999999999997,True,False,WARNING,metrics within configured thresholds; tip_orientation_error=4.09deg
0.52,unknown,move_to_start,0.5,0.03464101615137754,0.222,0.4913059061981017,0.0288689885650699,0.20205959730411846,0.5034,0.03464101615137754,0.237,0.008694093801898284,0.00577202758630764,0.019940402695881543,0.02250607094024238,0.03217482939362526,0.056455522775650024,0.026115678250789642,-2.348400115966797,0.0002808970457408577,2.3326961994171143,0.8171916604042053,0.04777076467871666,-0.17048439383506775,0.04185416176915169,-0.1429516077041626,0.0050678676925599575,-0.012865182012319565,0.0793972834944725,0.25772698297233926,2.988322186092825,0.14053295190466614,0.02,1.0,0.7269203727722169,4.134439116903696,0.0,0.0,2.806014334549385,0.0,0.014999999999999998,True,False,WARNING,metrics within configured thresholds; tip_orientation_error=4.13deg
0.54,unknown,move_to_start,0.5,0.03464101615137754,0.222,0.4903884606014131,0.029682974016271117,0.20235005776396808,0.5034,0.03464101615137754,0.2355,0.009611539398586888,0.004958042135106422,0.01964994223603192,0.02242953635952981,0.03311215713620186,0.053520191460847855,0.026934416964650154,-2.351410150527954,0.0003557034069672227,2.3330650329589844,0.8187574744224548,0.045676980167627335,-0.17404133081436157,0.03971075639128685,-0.11565561592578888,0.003569124499335885,0.015467490069568157,0.07446739822626114,0.2574500498857047,2.988766387218494,0.13987300176857284,0.02,1.0,0.7233998840332032,4.117612810921899,0.0,0.0,1.8239093174571002,0.0,0.013499999999999998,True,False,WARNING,metrics within configured thresholds; tip_orientation_error=4.12deg
0.56,unknown,move_to_start,0.5,0.03464101615137754,0.222,0.48984119065074755,0.03046305619615598,0.20290078311974807,0.5034,0.03464101615137754,0.234,0.010158809349252451,0.00417795995522156,0.01909921688025193,0.02203263130497114,0.03400133550167084,0.05056941509246826,0.0277014821767807,-2.3538830280303955,0.00039237935561686754,2.3340470790863037,0.8202045559883118,0.04285608232021332,-0.17301978170871735,0.036924876272678375,-0.09011604636907578,0.0017389662098139524,0.04465244710445404,0.06881958991289139,0.25719030214876015,2.9898472593558587,0.13935421392292752,0.02,1.0,0.720389849472046,4.033966201866634,0.0,0.0,1.1855410563471152,0.0,0.011999999999999999,True,False,WARNING,metrics within configured thresholds; tip_orientation_error=4.03deg
0.58,unknown,move_to_start,0.5,0.03464101615137754,0.222,0.48964564637931385,0.03119714853480255,0.2036613393815488,0.5034,0.03464101615137754,0.2325,0.010354353620686152,0.0034438676165749887,0.018338660618451214,0.02133961893618168,0.03482845425605774,0.04769220948219299,0.028404930606484413,-2.3558430671691895,0.0003861644654534757,2.3356595039367676,0.8215192556381226,0.0394144207239151,-0.16781173646450043,0.033598948270082474,-0.06531178951263428,-0.0003011280787177384,0.07467323541641235,0.06252896785736084,0.2569504991388212,2.991578502175412,0.13898480427653434,0.02,1.0,0.7179169719696046,3.8890158436502276,0.0,0.0,0.7706016866256249,0.0,0.010499999999999999,True,False,WARNING,metrics within configured thresholds; tip_orientation_error=3.89deg
